runtime_days,infected,reinfected,long_covid_cases,min_productivity,param_name,param_value,run,agents,backend
44,11,0,2,99.2,covid_spread_chance_pct,5,26,1000,gpu
73,144,0,8,93.39999999999999,covid_spread_chance_pct,5,27,1000,gpu
73,290,0,31,90.77480545043946,covid_spread_chance_pct,5,28,1000,gpu
58,32,0,1,98.8,covid_spread_chance_pct,5,29,1000,gpu
51,18,0,1,98.94760321974755,covid_spread_chance_pct,5,30,1000,gpu
78,236,0,15,88.31385955810546,covid_spread_chance_pct,5,31,1000,gpu
74,128,0,6,93.10000000000001,covid_spread_chance_pct,5,32,1000,gpu
91,335,0,31,89.11824378967286,covid_spread_chance_pct,5,33,1000,gpu
69,39,0,5,98.45009188652038,covid_spread_chance_pct,5,34,1000,gpu
53,16,0,1,98.8,covid_spread_chance_pct,5,35,1000,gpu
55,85,0,3,94.6,covid_spread_chance_pct,5,36,1000,gpu
94,234,0,20,91.63676013946534,covid_spread_chance_pct,5,37,1000,gpu
90,177,0,13,92.32458152770995,covid_spread_chance_pct,5,38,1000,gpu
45,11,0,1,99.3,covid_spread_chance_pct,5,39,1000,gpu
55,52,0,6,97.53506388664246,covid_spread_chance_pct,5,40,1000,gpu
41,7,0,0,99.5,covid_spread_chance_pct,5,41,1000,gpu
52,20,0,0,99.2,covid_spread_chance_pct,5,42,1000,gpu
48,17,0,0,99.5,covid_spread_chance_pct,5,43,1000,gpu
47,7,0,1,99.54075805544853,covid_spread_chance_pct,5,44,1000,gpu
81,259,0,27,89.04141454696656,covid_spread_chance_pct,5,45,1000,gpu
86,235,0,24,88.14396829605103,covid_spread_chance_pct,5,46,1000,gpu
70,78,0,7,98.0,covid_spread_chance_pct,5,47,1000,gpu
83,213,0,18,90.21334809660911,covid_spread_chance_pct,5,48,1000,gpu
50,13,0,1,99.7,covid_spread_chance_pct,5,49,1000,gpu
76,583,0,32,74.13792190551757,covid_spread_chance_pct,10,0,1000,gpu
65,618,0,52,72.00393486022949,covid_spread_chance_pct,10,1,1000,gpu
79,419,0,25,83.01474742889404,covid_spread_chance_pct,10,2,1000,gpu
81,594,0,23,69.0373230934143,covid_spread_chance_pct,10,3,1000,gpu
78,483,0,37,76.31495037078857,covid_spread_chance_pct,10,4,1000,gpu
78,681,0,47,64.99188499450683,covid_spread_chance_pct,10,5,1000,gpu
81,533,0,34,77.99256210327148,covid_spread_chance_pct,10,6,1000,gpu
65,604,0,47,71.45052089691161,covid_spread_chance_pct,10,7,1000,gpu
82,548,0,36,73.41083145141602,covid_spread_chance_pct,10,8,1000,gpu
86,617,2,34,71.82194137573242,covid_spread_chance_pct,10,9,1000,gpu
74,504,0,36,81.39912185668945,covid_spread_chance_pct,10,10,1000,gpu
71,571,0,48,81.80000000000001,covid_spread_chance_pct,10,11,1000,gpu
70,672,0,63,70.45614776611329,covid_spread_chance_pct,10,12,1000,gpu
53,20,0,1,99.17463808059692,covid_spread_chance_pct,10,13,1000,gpu
70,589,0,40,71.97286567687988,covid_spread_chance_pct,10,14,1000,gpu
81,544,0,30,76.29551124572754,covid_spread_chance_pct,10,15,1000,gpu
67,460,0,28,81.60000000000001,covid_spread_chance_pct,10,16,1000,gpu
73,586,0,30,77.97904052734374,covid_spread_chance_pct,10,17,1000,gpu
76,562,0,40,70.64323387145997,covid_spread_chance_pct,10,18,1000,gpu
70,666,0,51,66.54047966003418,covid_spread_chance_pct,10,19,1000,gpu
84,570,0,36,75.09388275146485,covid_spread_chance_pct,10,20,1000,gpu
71,562,0,49,78.31059951782227,covid_spread_chance_pct,10,21,1000,gpu
67,694,0,64,69.39485702514648,covid_spread_chance_pct,10,22,1000,gpu
73,603,0,38,69.06322612762452,covid_spread_chance_pct,10,23,1000,gpu
68,574,0,41,71.72082595825195,covid_spread_chance_pct,10,24,1000,gpu
76,473,0,22,78.54446773529052,covid_spread_chance_pct,10,25,1000,gpu
66,543,0,51,78.5,covid_spread_chance_pct,10,26,1000,gpu
72,591,0,25,71.36952495574951,covid_spread_chance_pct,10,27,1000,gpu
79,608,0,68,78.04061012268066,covid_spread_chance_pct,10,28,1000,gpu
85,271,0,14,89.61948004961013,covid_spread_chance_pct,10,29,1000,gpu
82,392,0,23,79.6852071762085,covid_spread_chance_pct,10,30,1000,gpu
69,671,0,56,66.35137252807617,covid_spread_chance_pct,10,31,1000,gpu
73,536,0,32,77.60000000000001,covid_spread_chance_pct,10,32,1000,gpu
78,649,0,62,76.60299835205078,covid_spread_chance_pct,10,33,1000,gpu
140,735,396,57,67.71846675872804,covid_spread_chance_pct,10,34,1000,gpu
69,619,0,55,73.00170803070068,covid_spread_chance_pct,10,35,1000,gpu
73,365,0,19,83.65815200805665,covid_spread_chance_pct,10,36,1000,gpu
77,497,0,46,80.4,covid_spread_chance_pct,10,37,1000,gpu
69,608,0,44,68.50196762084961,covid_spread_chance_pct,10,38,1000,gpu
73,529,0,15,73.25842070579529,covid_spread_chance_pct,10,39,1000,gpu
74,575,0,52,74.57068367004395,covid_spread_chance_pct,10,40,1000,gpu
80,568,0,31,78.89715690612793,covid_spread_chance_pct,10,41,1000,gpu
74,600,0,54,71.53257656097412,covid_spread_chance_pct,10,42,1000,gpu
73,456,0,30,80.0,covid_spread_chance_pct,10,43,1000,gpu
85,590,0,27,70.00376243591309,covid_spread_chance_pct,10,44,1000,gpu
72,620,0,62,79.60000000000001,covid_spread_chance_pct,10,45,1000,gpu
84,674,0,51,69.29600410461425,covid_spread_chance_pct,10,46,1000,gpu
93,527,3,22,83.28740921020508,covid_spread_chance_pct,10,47,1000,gpu
82,649,1,43,67.06057586669922,covid_spread_chance_pct,10,48,1000,gpu
93,426,7,19,84.33766117095946,covid_spread_chance_pct,10,49,1000,gpu
64,823,0,53,58.80000000000001,covid_spread_chance_pct,20,0,1000,gpu
59,806,0,71,63.6,covid_spread_chance_pct,20,1,1000,gpu
61,784,0,54,67.75770874023436,covid_spread_chance_pct,20,2,1000,gpu
60,813,0,37,59.4,covid_spread_chance_pct,20,3,1000,gpu
64,806,0,63,58.60000000000001,covid_spread_chance_pct,20,4,1000,gpu
59,845,0,62,59.289981842041016,covid_spread_chance_pct,20,5,1000,gpu
60,771,0,60,63.5,covid_spread_chance_pct,20,6,1000,gpu
64,824,0,64,59.99316940307617,covid_spread_chance_pct,20,7,1000,gpu
62,791,0,39,65.54228439331055,covid_spread_chance_pct,20,8,1000,gpu
62,835,0,44,61.4,covid_spread_chance_pct,20,9,1000,gpu
63,784,0,44,65.3,covid_spread_chance_pct,20,10,1000,gpu
58,836,0,67,65.10000000000001,covid_spread_chance_pct,20,11,1000,gpu
60,819,0,84,61.5,covid_spread_chance_pct,20,12,1000,gpu
63,770,0,22,63.6,covid_spread_chance_pct,20,13,1000,gpu
64,826,0,62,59.730697059631346,covid_spread_chance_pct,20,14,1000,gpu
57,797,0,38,60.0,covid_spread_chance_pct,20,15,1000,gpu
60,801,0,39,63.6,covid_spread_chance_pct,20,16,1000,gpu
61,801,0,47,61.0,covid_spread_chance_pct,20,17,1000,gpu
61,769,0,46,59.20000000000001,covid_spread_chance_pct,20,18,1000,gpu
62,825,0,59,57.800000000000004,covid_spread_chance_pct,20,19,1000,gpu
60,785,0,36,64.41606407165527,covid_spread_chance_pct,20,20,1000,gpu
59,784,0,78,67.41032371520997,covid_spread_chance_pct,20,21,1000,gpu
62,841,0,80,63.42909317016602,covid_spread_chance_pct,20,22,1000,gpu
59,838,0,59,56.60000000000001,covid_spread_chance_pct,20,23,1000,gpu
59,807,0,59,62.0,covid_spread_chance_pct,20,24,1000,gpu
62,765,0,43,65.60000000000001,covid_spread_chance_pct,20,25,1000,gpu
58,816,0,76,63.1,covid_spread_chance_pct,20,26,1000,gpu
62,787,0,37,62.7,covid_spread_chance_pct,20,27,1000,gpu
61,816,0,91,62.5,covid_spread_chance_pct,20,28,1000,gpu
66,754,0,26,60.8,covid_spread_chance_pct,20,29,1000,gpu
61,758,0,58,65.8,covid_spread_chance_pct,20,30,1000,gpu
60,811,0,66,58.400000000000006,covid_spread_chance_pct,20,31,1000,gpu
64,810,0,42,62.6,covid_spread_chance_pct,20,32,1000,gpu
60,840,0,62,62.0,covid_spread_chance_pct,20,33,1000,gpu
61,802,0,44,62.4,covid_spread_chance_pct,20,34,1000,gpu
63,785,0,57,64.3,covid_spread_chance_pct,20,35,1000,gpu
59,773,0,30,61.9,covid_spread_chance_pct,20,36,1000,gpu
62,770,0,62,63.3,covid_spread_chance_pct,20,37,1000,gpu
56,819,0,64,56.400000000000006,covid_spread_chance_pct,20,38,1000,gpu
60,765,0,25,61.5,covid_spread_chance_pct,20,39,1000,gpu
58,812,0,74,66.10000000000001,covid_spread_chance_pct,20,40,1000,gpu
63,794,0,36,67.39999999999999,covid_spread_chance_pct,20,41,1000,gpu
60,777,0,63,62.587616729736325,covid_spread_chance_pct,20,42,1000,gpu
64,805,0,39,62.9,covid_spread_chance_pct,20,43,1000,gpu
61,814,0,45,59.099999999999994,covid_spread_chance_pct,20,44,1000,gpu
62,814,0,72,64.5,covid_spread_chance_pct,20,45,1000,gpu
62,817,0,70,58.9,covid_spread_chance_pct,20,46,1000,gpu
58,779,0,55,67.8,covid_spread_chance_pct,20,47,1000,gpu
60,795,0,79,58.51840515136719,covid_spread_chance_pct,20,48,1000,gpu
68,790,0,33,64.0,covid_spread_chance_pct,20,49,1000,gpu
43,5,0,2,99.78950564861297,initial_infected_agents,2,0,1000,gpu
81,586,0,41,72.41090087890625,initial_infected_agents,2,1,1000,gpu
79,444,0,30,80.73346509933472,initial_infected_agents,2,2,1000,gpu
42,5,0,0,99.6,initial_infected_agents,2,3,1000,gpu
84,487,1,43,75.59791984558105,initial_infected_agents,2,4,1000,gpu
80,686,0,65,63.679370117187496,initial_infected_agents,2,5,1000,gpu
82,574,0,43,77.18692321777344,initial_infected_agents,2,6,1000,gpu
73,583,0,43,73.21116828918457,initial_infected_agents,2,7,1000,gpu
79,507,0,34,74.59558525085448,initial_infected_agents,2,8,1000,gpu
77,584,0,29,71.37009468078614,initial_infected_agents,2,9,1000,gpu
83,488,0,33,81.91970863342284,initial_infected_agents,2,10,1000,gpu
41,3,0,0,99.8,initial_infected_agents,2,11,1000,gpu
71,673,0,61,71.2476619720459,initial_infected_agents,2,12,1000,gpu
40,2,0,0,99.8,initial_infected_agents,2,13,1000,gpu
79,585,0,44,71.47047710418701,initial_infected_agents,2,14,1000,gpu
82,566,0,30,73.36556892395019,initial_infected_agents,2,15,1000,gpu
75,327,0,20,84.7,initial_infected_agents,2,16,1000,gpu
75,595,0,27,76.72211952209473,initial_infected_agents,2,17,1000,gpu
137,699,358,59,58.05938129425049,initial_infected_agents,2,18,1000,gpu
75,672,0,42,65.39323234558105,initial_infected_agents,2,19,1000,gpu
79,543,0,27,75.82115650177002,initial_infected_agents,2,20,1000,gpu
46,8,0,1,99.68576365709305,initial_infected_agents,2,21,1000,gpu
78,680,0,60,71.0145866394043,initial_infected_agents,2,22,1000,gpu
73,602,0,41,68.89866638183594,initial_infected_agents,2,23,1000,gpu
73,532,0,40,73.69228668212891,initial_infected_agents,2,24,1000,gpu
91,454,4,26,78.34872064590455,initial_infected_agents,2,25,1000,gpu
40,2,0,0,99.9,initial_infected_agents,2,26,1000,gpu
75,589,0,31,71.11589012145996,initial_infected_agents,2,27,1000,gpu
74,637,0,66,75.35521965026855,initial_infected_agents,2,28,1000,gpu
58,56,0,6,97.7,initial_infected_agents,2,29,1000,gpu
47,10,0,1,99.4,initial_infected_agents,2,30,1000,gpu
77,585,0,44,69.38527965545654,initial_infected_agents,2,31,1000,gpu
74,557,0,38,79.60000000000001,initial_infected_agents,2,32,1000,gpu
76,628,0,68,75.48921890258788,initial_infected_agents,2,33,1000,gpu
41,4,0,1,99.8,initial_infected_agents,2,34,1000,gpu
84,639,0,44,72.72119884490967,initial_infected_agents,2,35,1000,gpu
75,292,0,10,87.0,initial_infected_agents,2,36,1000,gpu
83,495,0,38,80.29812049865723,initial_infected_agents,2,37,1000,gpu
70,651,0,56,67.51734485626221,initial_infected_agents,2,38,1000,gpu
95,573,1,29,70.54820957183838,initial_infected_agents,2,39,1000,gpu
40,2,0,1,99.9,initial_infected_agents,2,40,1000,gpu
81,604,0,42,74.34580192565919,initial_infected_agents,2,41,1000,gpu
74,611,0,46,71.31692695617676,initial_infected_agents,2,42,1000,gpu
74,514,0,26,77.47200441658497,initial_infected_agents,2,43,1000,gpu
93,579,0,33,69.04732494354249,initial_infected_agents,2,44,1000,gpu
41,3,0,1,99.8,initial_infected_agents,2,45,1000,gpu
72,667,0,66,70.15507812499999,initial_infected_agents,2,46,1000,gpu
81,526,0,27,81.98439521789551,initial_infected_agents,2,47,1000,gpu
82,613,0,48,69.76402835845947,initial_infected_agents,2,48,1000,gpu
40,2,0,0,99.9,initial_infected_agents,2,49,1000,gpu
76,583,0,32,74.13792190551757,initial_infected_agents,5,0,1000,gpu
65,618,0,52,72.00393486022949,initial_infected_agents,5,1,1000,gpu
79,419,0,25,83.01474742889404,initial_infected_agents,5,2,1000,gpu
81,594,0,23,69.0373230934143,initial_infected_agents,5,3,1000,gpu
78,483,0,37,76.31495037078857,initial_infected_agents,5,4,1000,gpu
78,681,0,47,64.99188499450683,initial_infected_agents,5,5,1000,gpu
81,533,0,34,77.99256210327148,initial_infected_agents,5,6,1000,gpu
65,604,0,47,71.45052089691161,initial_infected_agents,5,7,1000,gpu
82,548,0,36,73.41083145141602,initial_infected_agents,5,8,1000,gpu
86,617,2,34,71.82194137573242,initial_infected_agents,5,9,1000,gpu
74,504,0,36,81.39912185668945,initial_infected_agents,5,10,1000,gpu
71,571,0,48,81.80000000000001,initial_infected_agents,5,11,1000,gpu
70,672,0,63,70.45614776611329,initial_infected_agents,5,12,1000,gpu
53,20,0,1,99.17463808059692,initial_infected_agents,5,13,1000,gpu
70,589,0,40,71.97286567687988,initial_infected_agents,5,14,1000,gpu
81,544,0,30,76.29551124572754,initial_infected_agents,5,15,1000,gpu
67,460,0,28,81.60000000000001,initial_infected_agents,5,16,1000,gpu
73,586,0,30,77.97904052734374,initial_infected_agents,5,17,1000,gpu
76,562,0,40,70.64323387145997,initial_infected_agents,5,18,1000,gpu
70,666,0,51,66.54047966003418,initial_infected_agents,5,19,1000,gpu
84,570,0,36,75.09388275146485,initial_infected_agents,5,20,1000,gpu
71,562,0,49,78.31059951782227,initial_infected_agents,5,21,1000,gpu
67,694,0,64,69.39485702514648,initial_infected_agents,5,22,1000,gpu
73,603,0,38,69.06322612762452,initial_infected_agents,5,23,1000,gpu
68,574,0,41,71.72082595825195,initial_infected_agents,5,24,1000,gpu
76,473,0,22,78.54446773529052,initial_infected_agents,5,25,1000,gpu
66,543,0,51,78.5,initial_infected_agents,5,26,1000,gpu
72,591,0,25,71.36952495574951,initial_infected_agents,5,27,1000,gpu
79,608,0,68,78.04061012268066,initial_infected_agents,5,28,1000,gpu
85,271,0,14,89.61948004961013,initial_infected_agents,5,29,1000,gpu
82,392,0,23,79.6852071762085,initial_infected_agents,5,30,1000,gpu
69,671,0,56,66.35137252807617,initial_infected_agents,5,31,1000,gpu
73,536,0,32,77.60000000000001,initial_infected_agents,5,32,1000,gpu
78,649,0,62,76.60299835205078,initial_infected_agents,5,33,1000,gpu
140,735,396,57,67.71846675872804,initial_infected_agents,5,34,1000,gpu
69,619,0,55,73.00170803070068,initial_infected_agents,5,35,1000,gpu
73,365,0,19,83.65815200805665,initial_infected_agents,5,36,1000,gpu
77,497,0,46,80.4,initial_infected_agents,5,37,1000,gpu
69,608,0,44,68.50196762084961,initial_infected_agents,5,38,1000,gpu
73,529,0,15,73.25842070579529,initial_infected_agents,5,39,1000,gpu
74,575,0,52,74.57068367004395,initial_infected_agents,5,40,1000,gpu
80,568,0,31,78.89715690612793,initial_infected_agents,5,41,1000,gpu
74,600,0,54,71.53257656097412,initial_infected_agents,5,42,1000,gpu
